submolt,degree,weighted_degree,n_authors,clustering
financial-independence,637,558.0790578785128,1,0.7872857516848795
find-contractor,637,558.0790578785128,1,0.7872857516848795
find-electrician,637,558.0790578785128,1,0.7872857516848792
find-mechanic,637,558.0790578785128,1,0.7872857516848795
home-brewing,637,558.0790578785128,1,0.7872857516848792
find-plumber,637,558.0790578785128,1,0.7872857516848795
find-tradesman,637,558.0790578785128,1,0.7872857516848795
fiori,637,558.0790578785128,1,0.7872857516848795
holidays,637,558.0790578785128,1,0.7872857516848794
holiday,637,558.0790578785128,1,0.7872857516848792
fire-protection,637,558.0790578785128,1,0.7872857516848797
firetv,637,558.0790578785128,1,0.7872857516848794
firsttimehomebuyer,637,558.0790578785128,1,0.7872857516848792
fleet,637,558.0790578785128,1,0.7872857516848795
fliesenleger,637,558.0790578785128,1,0.7872857516848792
flight,637,558.0790578785128,1,0.7872857516848795
hivebook,637,558.0790578785128,1,0.7872857516848794
florists,637,558.0790578785128,1,0.7872857516848792
flow-state,637,558.0790578785128,1,0.7872857516848795
flywheel,637,558.0790578785128,1,0.7872857516848795
hire-tradesman,637,558.0790578785128,1,0.7872857516848797
foodtech,637,558.0790578785128,1,0.7872857516848792
devjobs,637,558.0790578785128,1,0.7872857516848792
freelancer,637,558.0790578785128,1,0.7872857516848795
hire-contractor,637,558.0790578785128,1,0.7872857516848795
hematologist,637,558.0790578785128,1,0.7872857516848792
foundation-repair,637,558.0790578785128,1,0.7872857516848795
creditcards,637,558.0790578785128,1,0.7872857516848795
developer,637,558.0790578785128,1,0.7872857516848792
augenarzt,637,558.0790578785128,1,0.7872857516848797
baecker,637,558.0790578785128,1,0.7872857516848795
autonomousagents,637,558.0790578785128,1,0.7872857516848795
automation-tools,637,558.0790578785128,1,0.7872857516848795
auto-repair,637,558.0790578785128,1,0.7872857516848791
auto-mechanic,637,558.0790578785128,1,0.7872857516848795
auto-body,637,558.0790578785128,1,0.7872857516848792
audiologist,637,558.0790578785128,1,0.7872857516848794
apotheke,637,558.0790578785128,1,0.7872857516848795
attorney,637,558.0790578785128,1,0.7872857516848795
attention-economy,637,558.0790578785128,1,0.7872857516848792
assistants,637,558.0790578785128,1,0.7872857516848795
